"odata.type","ID","Position","ParentID","Type","Key","Title","Description","MapYear","Datatype","Unit","Decimals","Default","PresentationType"
"Cbs.OData.TopicGroup",77,,65,"TopicGroup","","Gemiddeld aardgasverbruik","Het gemiddeld jaarverbruik voor aardgas van particuliere woningen, zoals berekend uit de aansluitingenregisters van de energienetbedrijven.
Bij de berekening van het gemiddeld aardgasverbruik zijn woningen met een zeer laag of zelfs nulverbruik meegeteld indien er sprake is van stadsverwarming. Hierdoor valt in gebieden waar stadsverwarming aanwezig is het gemiddeld aardgasverbruik van woningen laag uit.

De cijfers zijn afgerond op tientallen en vermeld bij zes of meer (bewoonde) woningen per woningtype of type eigendom.

",,,,,,
"Cbs.OData.Topic",78,56,77,"Topic","GemiddeldAardgasverbruikTotaal_56","Gemiddeld aardgasverbruik totaal","Het gemiddeld aardgasverbruik voor alle woningtypen samen.",,"Long","m³",0,"Impossible","Absolute"
"Cbs.OData.TopicGroup",79,,77,"TopicGroup","","Naar woningtype","De volgende typen worden onderscheiden: appartement, tussenwoning, hoekwoning, twee-onder-één-kap-woning en vrijstaande woning. De typering wordt bepaald door het Kadaster.",,,,,,
"Cbs.OData.Topic",80,57,79,"Topic","Appartement_57","Appartement","Een geheel van bij elkaar horende vertrekken als afzonderlijke woongelegenheid binnen een grotere woning waarbij de opdeling van het gebouw heeft plaatsgevonden volgens het appartementsrecht. Een bovenwoning of flat die geen appartement is wordt niet meegenomen bij het berekenen van de verbruikscijfers.",,"Long","m³",0,"Impossible","Absolute"
"Cbs.OData.Topic",81,58,79,"Topic","Tussenwoning_58","Tussenwoning",,,"Long","m³",0,"Impossible","Absolute"
"Cbs.OData.Topic",82,59,79,"Topic","Hoekwoning_59","Hoekwoning",,,"Long","m³",0,"Impossible","Absolute"
"Cbs.OData.Topic",83,60,79,"Topic","TweeOnderEenKapWoning_60","Twee-onder-één-kap-woning",,,"Long","m³",0,"Impossible","Absolute"
"Cbs.OData.Topic",84,61,79,"Topic","VrijstaandeWoning_61","Vrijstaande woning",,,"Long","m³",0,"Impossible","Absolute"
"Cbs.OData.TopicGroup",85,,77,"TopicGroup","","Naar eigendom","De volgende typen worden onderscheiden: huur- of koopwoning.  Deze informatie wordt samengesteld uit een koppeling tussen de Basisregistratie Adressen en Gebouwen (BAG) en het WOZ-register met een aanvulling uit het woningbestand van het Kadaster.",,,,,,
"Cbs.OData.Topic",86,62,85,"Topic","Huurwoning_62","Huurwoning","Woningen in eigendom van 'toegelaten instellingen' (woningcorporaties), van institutionele beleggers of van particulieren die de woning verhuren aan de bewoner.",,"Long","m³",0,"Impossible","Absolute"
"Cbs.OData.Topic",87,63,85,"Topic","EigenWoning_63","Eigen woning","Woningen die eigendom zijn of worden van de (toekomstige) bewoners.",,"Long","m³",0,"Impossible","Absolute"
"Cbs.OData.Topic",88,64,77,"Topic","PercentageWoningenMetStadsverwarming_64","Percentage woningen met stadsverwarming","Het percentage woningen dat is aangesloten op stadsverwarming. 

Stadsverwarming is een verwarmingssysteem waarbij de woningen in een wijk worden verwarmd via een ondergronds netwerk van warmwaterleidingen. In veel gevallen maakt stadsverwarming gebruik van restwarmte van bijvoorbeeld elektriciteitscentrales. Het aardgasverbruik van deze woningen is in veel gevallen zeer laag of zelfs nul. De hoeveelheid warmte die door aangesloten woningen in een jaar wordt afgenomen van de stadsverwarming is niet beschikbaar. Het percentage is vermeld bij tien of meer (bewoonde) woningen. Voor de gemeentes is een percentage van minder dan vijf of groter dan 95 afgerond op vijftallen.
",,"Double","%",1,"Impossible","Relative"
"Cbs.OData.TopicGroup",89,,,"TopicGroup","","Opleidingsniveau","Deze variabelen geven het aantal laag, middelbaar en hoog opgeleiden per gemeente, wijk en buurt in Nederland. De gegevens hebben betrekking op alle personen die op 1 oktober in een Nederlandse gemeente waren ingeschreven en op dat moment behoorden tot de leeftijdscategorie 15 tot 75 jaar.

Cijfers worden afgerond op tientallen.
De gepresenteerde cijfers kunnen licht afwijken van de som van de gegevens op onderliggende regionale niveaus. Dit heeft te maken met afronding evenals met de toegepaste schattingsmethode.
Buurten / wijken met minder dan 30 inwoners worden onderdrukt. Het kan voorkomen dat extra buurten  / wijken worden onderdrukt i.v.m. risico op indirecte onthulling of groepsonthulling.
",,,,,,
"Cbs.OData.Topic",90,65,89,"Topic","OpleidingsniveauLaag_65","Opleidingsniveau laag","Het aantal personen die op 1 oktober (jaar T) tussen de 15 en 75 jaar oud waren en waren ingeschreven in een Nederlandse gemeente, waarvan het hoogst behaalde onderwijsniveau laag onderwijs betreft. Laag onderwijs omvat onderwijs op het niveau van basisonderwijs, het vmbo, de eerste 3 leerjaren van havo/vwo en de entreeopleiding, de voormalige assistentenopleiding (mbo1), praktijkonderwijs.

Het betreft voorlopige cijfers.
",,"Long","aantal",0,"Impossible","Absolute"
"Cbs.OData.Topic",91,66,89,"Topic","OpleidingsniveauMiddelbaar_66","Opleidingsniveau middelbaar","Het aantal personen die op 1 oktober (jaar T) tussen de 15 en 75 jaar oud waren en waren ingeschreven in een Nederlandse gemeente, waarvan het hoogstbehaalde onderwijsniveau middelbaar onderwijs betreft. Middelbaar onderwijs omvat 
de bovenbouw van havo/vwo, de basisberoepsopleiding (mbo2), de vakopleiding (mbo3) en de middenkader- en specialistenopleidingen (mbo4).

Het betreft voorlopige cijfers.
",,"Long","aantal",0,"Impossible","Absolute"
"Cbs.OData.Topic",92,67,89,"Topic","OpleidingsniveauHoog_67","Opleidingsniveau hoog","Het aantal personen die op 1 oktober (jaar T) tussen de 15 en 75 jaar oud waren en waren ingeschreven in een Nederlandse gemeente, waarvan het hoogstbehaalde onderwijsniveau hoog onderwijs betreft. Hoog onderwijs omvat onderwijs op het niveau van hbo of wo.

Het betreft voorlopige cijfers.
",,"Long","aantal",0,"Impossible","Absolute"
"Cbs.OData.TopicGroup",93,,,"TopicGroup","","Arbeid","Deze variabelen geven per gemeente, wijk en buurt inzicht in de nettoarbeidsparticipatie en het percentage werknemers en zelfstandigen. 

De nettoarbeidsparticipatie is vermeld als percentage van het totaal aantal personen van 15 tot 75 jaar en vermeld bij minimaal 150 inwoners in een buurt. Het percentage werknemers en het percentage zelfstandigen zijn vermeld bij minimaal 150 werkenden (van 15 tot 75 jaar) in een buurt.
",,,,,,
"Cbs.OData.Topic",94,68,93,"Topic","Nettoarbeidsparticipatie_68","Nettoarbeidsparticipatie","Het aandeel van de werkzame beroepsbevolking in de bevolking (beroeps- en niet-beroepsbevolking).

Deze definitie heeft betrekking op personen die in Nederland wonen (exclusief de institutionele bevolking). De gegevens worden meestal gepresenteerd voor de bevolking van 15 tot 75 jaar.

Het betreft voorlopige cijfers.
",,"Long","%",0,"Impossible","Relative"
"Cbs.OData.TopicGroup",95,,93,"TopicGroup","","Onderverdeling werkenden",,,,,,,
"Cbs.OData.Topic",96,69,95,"Topic","PercentageWerknemers_69","Percentage werknemers","Een persoon die in een arbeidsovereenkomst afspraken met een economische eenheid maakt om arbeid te verrichten waartegenover een financiële beloning staat.

Als een persoon meer dan één baan of werkkring heeft, dan wordt uitgegaan van de baan of werkkring waaraan de meeste tijd wordt besteed.

Het betreft voorlopige cijfers.
",,"Long","%",0,"Impossible","Relative"
"Cbs.OData.Topic",97,70,95,"Topic","PercentageZelfstandigen_70","Percentage zelfstandigen","Een persoon die voor eigen rekening of risico arbeid verricht 
- in een eigen bedrijf of praktijk (zelfstandig ondernemer),  
- als directeur-grootaandeelhouder (dga),
- in het bedrijf of de praktijk van een gezinslid (meewerkend gezinslid), of 
- als overige zelfstandige.

Als een persoon meer dan één baan of werkkring heeft, dan wordt uitgegaan van de baan of werkkring waaraan de meeste tijd wordt besteed.

Het betreft voorlopige cijfers.
",,"Long","%",0,"Impossible","Relative"
"Cbs.OData.TopicGroup",98,,,"TopicGroup","","Inkomen","Deze variabelen geven informatie over het persoonlijk inkomen van personen in particuliere huishoudens waarvan het inkomen is waargenomen en het inkomen van particuliere huishoudens met een waargenomen inkomen. De gegevens komen uit de Integrale Inkomens- en Vermogensstatistiek (IIVS) met als populatie de bevolking van Nederland op 1 januari van het verslagjaar met het inkomen over het verslagjaar. 

De Integrale Inkomens- en Vermogensstatistiek van het CBS is voornamelijk gebaseerd op registers afkomstig van het Ministerie van Financiën (de fiscale registers) en de bevolkingsregisters van de Nederlandse gemeenten (Basisregistratie personen). De Basisregistratie personen is een register waarin alle inwoners van een gemeente behoren te zijn ingeschreven. Uitgezonderd zijn:
- Inwoners van Nederland die gebruik maken van uitzonderingsregels die gelden met betrekking tot opneming in de bevolkingsregisters (niet-Nederlandse diplomaten en niet-Nederlandse NAVO militairen). Zij mogen zelf bepalen of zij in de bevolkingsregisters ingeschreven worden of niet.
- Asielzoekers die korter dan zes maanden in de centrale opvang verblijven en nog geen verblijfsvergunning hebben gekregen.
",,,,,,
"Cbs.OData.TopicGroup",99,,98,"TopicGroup","","Inkomen van personen","De doelpopulatie bestaat uit personen behorende tot particuliere huishoudens waarvan het inkomen is waargenomen.
 
De inkomensgegevens zijn gebaseerd op het persoonlijk inkomen. Dit omvat de volgende bestanddelen van het bruto-inkomen van een persoon:
- inkomen uit arbeid;
- inkomen uit eigen onderneming;
- uitkering inkomensverzekeringen;
- uitkering sociale voorzieningen (met uitzondering van kinderbijslag).
",,,,,,
"Cbs.OData.Topic",100,71,99,"Topic","AantalInkomensontvangers_71","Aantal inkomensontvangers  ","Personen met persoonlijk inkomen in particuliere huishoudens. 
De cijfers zijn afgerond op honderdtallen.

Het betreft voorlopige cijfers.
",,"Long","aantal",0,"Impossible","Absolute"
"Cbs.OData.Topic",101,72,99,"Topic","GemiddeldInkomenPerInkomensontvanger_72","Gemiddeld inkomen per inkomensontvanger ","Het rekenkundig gemiddeld persoonlijk inkomen per persoon op basis van personen met persoonlijk inkomen die deel uitmaken van particuliere huishoudens.
De waarde is vermeld bij minimaal 2.500 personen met persoonlijk inkomen in particuliere huishoudens per regio.

Het betreft voorlopige cijfers.
",,"Double","x 1 000 euro",1,"Impossible","Relative"
"Cbs.OData.Topic",102,73,99,"Topic","GemiddeldInkomenPerInwoner_73","Gemiddeld inkomen per inwoner ","Het rekenkundig gemiddeld persoonlijk inkomen per persoon op basis van de totale bevolking in particuliere huishoudens.
De waarde is vermeld bij minimaal 2.500 personen in particuliere huishoudens per regio.

Het betreft voorlopige cijfers.
",,"Double","x 1 000 euro",1,"Impossible","Relative"
"Cbs.OData.Topic",103,74,99,"Topic","k_40PersonenMetLaagsteInkomen_74","40% personen met laagste inkomen","Aandeel personen in particuliere huishoudens die behoren tot de landelijke 40% personen met het laagste persoonlijk inkomen.
Personen met persoonlijk inkomen in particuliere huishoudens zijn ingedeeld naar hoogte van het persoonlijk inkomen. 
De indeling vindt plaats nadat alle personen landelijk zijn gerangschikt van laag naar hoog persoonlijk inkomen. Tot de laagste 40-procent-groep worden de veertig procent personen met het laagste persoonlijk inkomen gerekend.
Het persoonlijk inkomen omvat inkomen uit arbeid, inkomen uit eigen onderneming, uitkering inkomensverzekeringen en uitkering sociale voorzieningen (met uitzondering van kinderbijslag).
Het percentage is vermeld bij minimaal 100 personen met persoonlijk inkomen in particuliere huishoudens per regio.

Het betreft voorlopige cijfers.

",,"Double","%",1,"Impossible","Relative"
"Cbs.OData.Topic",104,75,99,"Topic","k_20PersonenMetHoogsteInkomen_75","20% personen met hoogste inkomen","Aandeel personen in particuliere huishoudens die behoren tot de landelijke 20% personen met het hoogste persoonlijk inkomen.
Personen met persoonlijk inkomen in particuliere huishoudens zijn ingedeeld naar hoogte van het persoonlijk inkomen. 
De indeling vindt plaats nadat alle personen landelijk zijn gerangschikt van laag naar hoog persoonlijk inkomen. Tot de hoogste 20-procent-groep worden de twintig procent personen met het hoogste persoonlijk inkomen gerekend.
Het persoonlijk inkomen omvat inkomen uit arbeid, inkomen uit eigen onderneming, uitkering inkomensverzekeringen en uitkering sociale voorzieningen (met uitzondering van kinderbijslag).
Het percentage is vermeld bij minimaal 100 personen met persoonlijk inkomen in particuliere huishoudens per regio.

Het betreft voorlopige cijfers.

",,"Double","%",1,"Impossible","Relative"
"Cbs.OData.TopicGroup",105,,98,"TopicGroup","","Inkomen van huishoudens","De doelpopulatie bestaat uit particuliere huishoudens waarvan het inkomen is waargenomen.",,,,,,
"Cbs.OData.Topic",106,76,105,"Topic","GemGestandaardiseerdInkomenVanHuish_76","Gem. gestandaardiseerd inkomen van huish","Het besteedbaar inkomen gecorrigeerd voor verschillen in grootte en samenstelling van het huishouden. Deze correctie vindt plaats met behulp van equivalentiefactoren. In de equivalentiefactor komen de schaalvoordelen tot uitdrukking die het gevolg zijn van het voeren van een gemeenschappelijke huishouding. Met behulp van de equivalentiefactoren worden alle inkomens herleid tot het inkomen van een eenpersoonshuishouden. Op deze wijze zijn de welvaartsniveaus van huishoudens onderling vergelijkbaar gemaakt. Het gestandaardiseerd inkomen is een maat voor de welvaart van (de leden van) een huishouden.

Het betreft voorlopige cijfers.

",,"Double","x 1 000 euro",1,"Impossible","Relative"
"Cbs.OData.Topic",107,77,105,"Topic","k_40HuishoudensMetLaagsteInkomen_77","40% huishoudens met laagste inkomen","Aandeel particuliere huishoudens die behoren tot de landelijke 40% huishoudens met het laagste huishoudensinkomen.
Particuliere huishoudens zijn ingedeeld naar hoogte van het besteedbaar huishoudensinkomen. 
De indeling vindt plaats nadat huishoudens landelijk zijn gerangschikt van laag naar hoog besteedbaar huishoudensinkomen. Tot de laagste 40-procent-groep worden de veertig procent huishoudens met het laagste besteedbaar inkomen gerekend.
Het percentage is vermeld bij minimaal 100 particuliere huishoudens per regio. 

Het besteedbaar inkomen van particuliere huishoudens bestaat uit het bruto-inkomen verminderd met: 
- betaalde inkomensoverdrachten, zoals alimentatie van de ex-echtgeno(o)t(e);
- premies inkomensverzekeringen zoals premies betaald voor sociale verzekeringen, volksverzekeringen en particuliere verzekeringen in verband met werkloosheid, arbeidsongeschiktheid en ouderdom en nabestaanden;
- premies ziektekostenverzekeringen;
- belastingen op inkomen en vermogen.

Het betreft voorlopige cijfers.
",,"Double","%",1,"Impossible","Relative"
"Cbs.OData.Topic",108,78,105,"Topic","k_20HuishoudensMetHoogsteInkomen_78","20% huishoudens met hoogste inkomen","Aandeel particuliere huishoudens die behoren tot de landelijke 20% huishoudens met het hoogste huishoudensinkomen.
Particuliere huishoudens zijn ingedeeld naar hoogte van het besteedbaar huishoudensinkomen. 
De indeling vindt plaats nadat huishoudens landelijk zijn gerangschikt van laag naar hoog besteedbaar huishoudensinkomen. Tot de hoogste 20-procent-groep worden de twintig procent huishoudens met het hoogste besteedbaar inkomen gerekend.
Het percentage is vermeld bij minimaal 100 particuliere huishoudens per regio. 

Het besteedbaar inkomen van particuliere huishoudens bestaat uit het bruto-inkomen verminderd met: 
- betaalde inkomensoverdrachten, zoals alimentatie van de ex-echtgeno(o)t(e);
- premies inkomensverzekeringen zoals premies betaald voor sociale verzekeringen, volksverzekeringen en particuliere verzekeringen in verband met werkloosheid, arbeidsongeschiktheid en ouderdom en nabestaanden;
- premies ziektekostenverzekeringen;
- belastingen op inkomen en vermogen.

Het betreft voorlopige cijfers.
",,"Double","%",1,"Impossible","Relative"
"Cbs.OData.Topic",109,79,105,"Topic","HuishoudensMetEenLaagInkomen_79","Huishoudens met een laag inkomen","Bij de bepaling van laag inkomen is van de particuliere huishoudens een aantal groepen niet meegenomen. Dit betreft enerzijds studentenhuishoudens en anderzijds huishoudens met een onvolledig jaarinkomen. De doelpopulatie bestaat dan ook uit particuliere huishoudens waarvan de hoofdkostwinner (of eventuele partner) het gehele jaar inkomen heeft en niet afhankelijk is van studiefinanciering.

Om te bepalen of een huishouden een laag inkomen heeft, wordt het inkomen van een huishouden omgerekend tot het gestandaardiseerde inkomen (exclusief eventueel ontvangen huurtoeslag). Vervolgens wordt dit gestandaardiseerde inkomen (met het prijsindexcijfer) herleid naar het prijspeil in 2000. Het resulterende gestandaardiseerde en gedefleerde inkomen is laag wanneer het minder is dan 9249 euro. Deze grens komt ongeveer overeen met de koopkracht van een bijstandsuitkering voor een alleenstaande in 1979 toen deze op zijn hoogst was. 
Het percentage is vermeld bij minimaal 100 particuliere huishoudens behorende tot de doelpopulatie per regio.

Het betreft voorlopige cijfers.
",,"Double","%",1,"Impossible","Relative"
"Cbs.OData.Topic",110,80,105,"Topic","HuishOnderOfRondSociaalMinimum_80","Huish. onder of rond sociaal minimum","Huishoudens onder of rond het sociaal minimum.
Bij de bepaling van het sociaal minimum is van de particuliere huishoudens een aantal groepen niet meegenomen. Dit betreft enerzijds studentenhuishoudens en anderzijds huishoudens met een onvolledig jaarinkomen. De doelpopulatie bestaat dan ook uit particuliere huishoudens waarvan de hoofdkostwinner (of eventuele partner) het gehele jaar inkomen heeft en niet afhankelijk is van studiefinanciering.

Het sociaal minimum is het wettelijk bestaansminimum zoals dat in de politieke besluitvorming is vastgesteld. Om te kunnen beoordelen hoe het inkomen zich verhoudt tot het minimum, is aan de hand van de regelgeving vastgesteld welke norm voor het desbetreffende huishouden van toepassing is. De norm voor een (echt)paar met uitsluitend minderjarige kinderen is bijvoorbeeld gelijkgesteld aan de bijstandsuitkering van een echtpaar, aangevuld met de (leeftijdsafhankelijke) kinderbijslag. Bij 65-plussers is het bedrag aan AOW-pensioen als norm gekozen.
Het waargenomen inkomen van huishoudens, die uitsluitend op een bijstandsuitkering zijn aangewezen, wijkt in veel gevallen in geringe mate af van de vastgestelde normbedragen. Zouden de normbedragen als inkomensgrens worden gehanteerd, dan komt een deel van deze huishoudens met hun inkomen net boven het sociale minimum uit. Daarom is niet 100%, maar 101% van het sociaal minimum als inkomensgrens gehanteerd.
Het percentage is vermeld bij minimaal 100 particuliere huishoudens behorende tot de doelpopulatie per regio.

Het betreft voorlopige cijfers.
",,"Double","%",1,"Impossible","Relative"
"Cbs.OData.Topic",111,81,105,"Topic","HuishoudensTot110VanSociaalMinimum_81","Huishoudens tot 110% van sociaal minimum","Het besteedbaar huishoudensinkomen exclusief gebonden uitkeringen is lager dan 110 procent van het sociaal minimum. Het sociaal minimum is het wettelijk bestaansminimum dat in de politieke besluitvorming is vastgesteld. Tot aan de pensioengerechtigde leeftijd is het sociaal minimum gelijk aan de hoogte van de bijstandsuitkering en vanaf de pensioengerechtigde leeftijd is het ontleend aan het AOW-pensioen. Voor huishoudens met kinderen zijn de kinderbijslag en het kindgebonden budget aan het normbedrag toegevoegd.

Het betreft voorlopige cijfers.
",,"Double","%",1,"Impossible","Relative"
"Cbs.OData.Topic",112,82,105,"Topic","HuishoudensTot120VanSociaalMinimum_82","Huishoudens tot 120% van sociaal minimum","Het besteedbaar huishoudensinkomen exclusief gebonden uitkeringen is lager dan 120 procent van het sociaal minimum. Het sociaal minimum is het wettelijk bestaansminimum dat in de politieke besluitvorming is vastgesteld. Tot aan de pensioengerechtigde leeftijd is het sociaal minimum gelijk aan de hoogte van de bijstandsuitkering en vanaf de pensioengerechtigde leeftijd is het ontleend aan het AOW-pensioen. Voor huishoudens met kinderen zijn de kinderbijslag en het kindgebonden budget aan het normbedrag toegevoegd.

Het betreft voorlopige cijfers.
",,"Double","%",1,"Impossible","Relative"
"Cbs.OData.Topic",113,83,105,"Topic","MediaanVermogenVanParticuliereHuish_83","Mediaan vermogen van particuliere huish.","De mediaan is het middelste getal wanneer alle getallen van laag naar hoog worden gesorteerd. Vermogen is het saldo van bezittingen en schulden. Bezittingen worden gevormd door bank- en spaartegoeden, effecten, de eigen woning, overig onroerend goed, ondernemingsvermogen, aanmerkelijk belang en de overige bezittingen. De schulden omvatten onder meer schulden ten behoeve van een eigen woning en consumptief krediet.

Het betreft voorlopige cijfers.
",,"Double","x 1 000 euro",1,"Missing","Relative"
"Cbs.OData.TopicGroup",114,,,"TopicGroup","","Sociale zekerheid","Deze variabelen geven per gemeente, wijk en buurt inzicht in het aantal personen dat een uitkering ontvangt op grond van arbeidsongeschiktheid, bijstand, werkloosheid en ouderdom.
Het is mogelijk dat een persoon aanspraak maakt op meer dan één uitkering. Dat kunnen uitkeringen zijn van eenzelfde soort (bijvoorbeeld twee uitkeringen op grond van de Wet op de arbeidsongeschiktheidsverzekering (WAO)) of twee uitkeringen van verschillende soort (zoals een uitkering op grond van de Werkloosheidswet en een bijstandsuitkering). In het laatste geval wordt de persoon bij beide soorten uitkeringen meegeteld, in het eerste geval slechts één keer (bij de WAO).

Op het gebied van sociale zekerheid vinden er regelmatig revisies plaats. Via het thema sociale zekerheid in StatLine vindt u altijd de meest recente cijfers.   

",,,,,,
"Cbs.OData.Topic",115,84,114,"Topic","PersonenPerSoortUitkeringBijstand_84","Personen per soort uitkering; Bijstand","Personen die een bijstandsuitkering op grond van de Participatiewet ontvangen.
Personen met een uitkering die verblijven in een instelling, de elders verzorgden, zijn niet inbegrepen. Ook dak- en thuislozen met bijstand zijn niet inbegrepen. De cijfers zijn standcijfers op de laatste dag van verslagmaand december.

Participatiewet
De Participatiewet vervangt sinds 1 januari 2015 de Wet werk en bijstand (WWB), de Wet Sociale Werkvoorziening (WsW) en een groot deel van de Wet werk en arbeidsondersteuning jonggehandicapten (wet Wajong).De Participatiewet komt vrijwel overeen met de WWB, maar nog sterker wordt de nadruk gelegd op participatie aan het arbeidsproces.
De wet regelt in Nederland de ondersteuning bij arbeidsinschakeling en het verlenen van bijstand door gemeenten voor mensen die weinig of geen ander inkomen (waaronder andere uitkeringen) hebben en ook weinig of geen vermogen. Gemeenten voeren de wet uit en bepalen, binnen de wettelijke grenzen, hun eigen beleid.

Het betreft voorlopige cijfers.

Op het gebied van sociale zekerheid vinden er regelmatig revisies plaats. Via het thema sociale zekerheid in StatLine vindt u altijd de meest recente cijfers.   
",,"Long","aantal",0,"Impossible","Absolute"
"Cbs.OData.Topic",116,85,114,"Topic","PersonenPerSoortUitkeringAO_85","Personen per soort uitkering; AO","Personen die een arbeidsongeschiktheidsuitkering ontvangen op grond van de Wet op de arbeidsongeschiktheidsverzekering (WAO), de Wet arbeidsongeschiktheidsverzekering zelfstandigen (WAZ), Wet werk en arbeidsondersteuning jonggehandicapten (wet Wajong) en de Wet werk en Inkomen naar arbeidsvermogen (WIA). De cijfers zijn standcijfers op de laatste dag van verslagmaand december.

Wet op de arbeidsongeschiktheidsverzekering (WAO)
Wet die als doel heeft om personen in loondienst te verzekeren van een loonvervangende uitkering bij langdurige arbeidsongeschiktheid. De WAO is met ingang van 29 december 2005 vervangen door de Wet werk en inkomen naar arbeidsvermogen (WIA), maar blijft bestaan voor mensen die al een WAO-uitkering hadden of binnen 5 jaar na het beëindigen van de uitkering opnieuw arbeidsongeschikt worden door dezelfde oorzaak.

Wet arbeidsongeschiktheidsverzekering zelfstandigen (WAZ)
Een verplichte verzekering voor zelfstandigen, beroepsbeoefenaren, directeuren-grootaandeelhouders en meewerkende echtgenoten tegen de financiële gevolgen van langdurige arbeidsongeschiktheid. 
De WAZ is met ingang van 1 augustus 2004 geblokkeerd, maar blijft bestaan voor mensen die al een WAZ-uitkering hadden.

Wet werk en arbeidsondersteuning jonggehandicapten (wet Wajong)
Wettelijke voorziening in de financiële gevolgen van langdurige arbeidsongeschiktheid van mensen die geen aanspraak kunnen maken op de WAO/WIA omdat er geen arbeidsverleden is opgebouwd. 
Dit zijn mensen die arbeidsongeschikt zijn voor de dag dat zij 17 jaar worden of na hun 17e jaar arbeidsongeschikt worden en een opleiding of studie volgen.

Met ingang van 1 januari 2010 is de Wet werk en arbeidsondersteuning jonggehandicapten (Wet Wajong) in werking getreden, ter vervanging van de oude Wajong. 
In tegenstelling tot de 'oude' Wajong hebben jongeren met een ziekte of handicap in de eerste plaats recht op hulp bij het vinden en houden van werk. Daaraan gekoppeld kunnen ze een inkomensondersteuning krijgen. De 'oude' Wajong blijft gelden voor jongeren die voor 1 januari 2010 een uitkering hebben aangevraagd.

Wet werk en inkomen naar arbeidsvermogen (WIA)
De wet geeft werknemers die na een wachttijd van twee jaar nog minstens 35 procent arbeidsongeschikt zijn, recht op een uitkering.
De wet is zo opgezet dat een persoon gestimuleerd wordt om naar vermogen te werken.
De WIA kent twee regelingen: de regeling inkomensvoorziening volledig arbeidsongeschikten (IVA) en de regeling werkhervatting gedeeltelijk arbeidsgeschikten (WGA).
De IVA regelt een loonvervangende uitkering voor werknemers die volledig en duurzaam arbeidsongeschikt zijn.
De WGA regelt een aanvulling op het met arbeid verdiende inkomen of een minimumuitkering als men niet of onvoldoende werkt.

Het betreft voorlopige cijfers.

Op het gebied van sociale zekerheid vinden er regelmatig revisies plaats. Via het thema sociale zekerheid in StatLine vindt u altijd de meest recente cijfers.
",,"Long","aantal",0,"Impossible","Absolute"
"Cbs.OData.Topic",117,86,114,"Topic","PersonenPerSoortUitkeringWW_86","Personen per soort uitkering; WW","Personen die een uitkering ontvangen op grond van de Werkloosheidswet (WW). De cijfers zijn standcijfers op de laatste dag van verslagmaand december.

Werkloosheidswet (WW)
De wet heeft tot doel werknemers te verzekeren tegen de financiële gevolgen van werkloosheid. 
De wet voorziet in een uitkering die gerelateerd is aan het laatstverdiende inkomen uit dienstbetrekking. De duur van de uitkering is afhankelijk van het arbeidsverleden van de verzekerde. Het Uitvoeringsinstituut Werknemersverzekeringen (UWV) beoordeelt of men voor een WW-uitkering in aanmerking komt.

Het betreft voorlopige cijfers.

Op het gebied van sociale zekerheid vinden er regelmatig revisies plaats. Via het thema sociale zekerheid in StatLine vindt u altijd de meest recente cijfers.   
",,"Long","aantal",0,"Impossible","Absolute"
"Cbs.OData.Topic",118,87,114,"Topic","PersonenPerSoortUitkeringAOW_87","Personen per soort uitkering; AOW","Het aantal personen dat een uitkering ontvangt in het kader van de Algemene ouderdomswet (AOW). De cijfers zijn standcijfers op de laatste dag van verslagmaand december.

Algemene Ouderdomswet (AOW)
De AOW is een algemene, de gehele bevolking omvattende, verplichte verzekering die personen vanaf de AOW-gerechtigde leeftijd een inkomen garandeert. In het Nederlandse sociale zekerheidsstelsel is dit een volksverzekering. 
In principe is iedereen die nog niet de AOW-gerechtige leeftijd heeft bereikt en in Nederland woont, verzekerd voor de AOW. 
Ook degenen die niet in Nederland wonen, maar in Nederland in dienstbetrekking arbeid verrichten waarover loonbelasting wordt betaald, zijn verzekerd. 
Voor perioden die men in het buitenland woont, kan men zich verzekeren tegen verlies van aanspraak op een AOW-uitkering. 
Een uitkering kan, binnen het kader van de wet Beperking export uitkeringen (wet BEU), naar het buitenland worden overgemaakt.

AOW-gerechtigde leeftijd (AOW-leeftijd) 
De AOW-leeftijd is de leeftijd waarop het AOW-pensioen ingaat. De AOW-leeftijd is tot en met 2024 als volgt:

Tot 2013: 65 jaar
2013: 65 jaar en 1 maand
2014: 65 jaar en 2 maanden
2015: 65 jaar en 3 maanden
2016: 65 jaar en 6 maanden
2017: 65 jaar en 9 maanden
2018: 66 jaar 
2019-2021: 66 jaar en 4 maanden. 
2022: 66 jaar en 7 maanden
2023: 66 jaar en 10 maanden
2024: 67 jaar.

Na 2024 zal de AOW-leeftijd niet 1 jaar stijgen per jaar dat we langer leven, maar 8 maanden. De AOW-leeftijd blijft dus gekoppeld aan de levensverwachting, maar in mindere mate.

Het betreft voorlopige cijfers.

Op het gebied van sociale zekerheid vinden er regelmatig revisies plaats. Via het thema sociale zekerheid in StatLine vindt u altijd de meest recente cijfers.   


",,"Long","aantal",0,"Impossible","Absolute"
